year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2019;02;01001;1;10038;2;10050;3;1;027;027;4;1;005;1;048;5;043;6;0066;4;12;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10060;2;10045;3;1;061;060;4;1;033;1;090;5;036;6;0054;11;;;8;00;00;00;9;00;00;//;0;00;00;1;00;00;2;27;15;3;12;04;4;02;00;5;00;00;;;;;;;8;22;00;00;9;00;00;12;0;0;017;22;1;1;080;10;2;0;050;22;3;1;108;12;4;0254;23;5;1;309;24;6;00;00;7;2;18;18
2019;02;01007;1;10078;2;10088;3;1;112;066;4;1;081;1;139;5;020;6;0028;3;04;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10073;2;10062;3;1;146;080;4;1;102;1;184;5;020;6;0039;07;;;8;14;14;14;9;14;14;;0;00;00;1;00;00;2;28;26;3;04;02;4;02;00;5;00;00;6;28;28;7;27;00;8;09;00;00;9;00;00;00;0;1;009;22;1;1;237;18;2;0;004;22;3;1;251;18;4;0142;21;5;1;248;22;6;00;00;7;2;18;18
2019;02;01008;1;10051;2;10089;3;1;111;066;4;1;080;1;139;5;021;6;0009;3;02;;;;8;00;00;0;0;9;00;00;28;0;61;90;;;;;3;1;162;;;;;;;;;6;0021;05;;;8;15;15;15;9;16;15;;0;00;00;1;00;00;2;28;25;3;02;01;4;00;00;5;00;00;6;28;28;7;07;00;8;07;00;00;9;01;01;02;0;0;004;22;1;1;231;18;2;0;019;22;3;1;254;18;4;0070;21;5;1;239;22;6;01;01;7;2;18;18
2019;02;01025;1;10021;2;10034;3;1;033;043;4;1;007;1;061;5;041;6;0148;5;16;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10067;2;10056;3;1;037;046;4;1;012;1;064;5;038;6;0087;13;;;8;04;04;04;9;04;04;;0;00;00;1;00;00;2;24;14;3;16;12;4;08;00;5;00;00;6;28;28;7;28;02;8;14;00;00;;;;;0;0;048;23;1;1;109;09;2;0;063;23;3;1;145;05;4;0208;22;5;1;228;15;;;;7;2;18;18
2019;02;01026;1;09891;2;10034;3;1;034;041;4;1;009;1;059;5;041;6;0138;5;17;7;032;100;8;00;00;0;0;9;00;00;00;0;61;90;1;10069;2;09924;3;1;042;045;4;1;021;1;065;5;037;6;0088;13;7;032;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;25;18;3;17;12;4;05;00;5;00;00;6;28;28;7;28;28;8;06;00;00;9;00;00;03;0;0;050;23;1;1;105;05;2;0;064;23;3;1;132;05;4;0166;22;5;1;192;16;6;00;02;7;2;18;18
2019;02;01028;1;10037;2;10057;3;1;048;045;4;1;030;1;067;5;037;6;0025;2;07;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10055;2;10036;3;1;077;068;4;1;047;1;109;5;035;6;0032;09;7;006;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;27;25;3;07;02;4;00;00;5;00;00;;;;;;;8;21;00;00;9;00;00;10;0;0;013;22;1;1;145;19;2;0;029;24;3;1;184;19;4;0059;23;5;1;270;28;6;01;02;7;2;18;18
2019;02;01065;1;09895;2;10068;3;1;158;113;4;1;109;1;211;5;022;6;0039;6;16;7;031;;8;00;00;0;0;9;00;00;00;0;61;90;;;;;3;1;154;;;;;;;;;;;;;;8;;;;9;;;;0;00;00;1;00;00;2;28;22;3;16;01;4;00;00;5;00;00;6;28;28;7;28;28;8;00;00;00;9;00;00;02;0;0;008;24;1;1;363;04;2;0;048;24;3;1;385;05;4;0052;18;5;1;146;27;6;00;00;7;2;18;18
2019;02;01098;1;10019;2;10038;3;1;045;040;4;1;023;1;072;5;037;6;0094;5;23;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10066;2;10048;3;1;054;040;4;1;030;1;079;5;038;6;0042;12;;;8;00;00;00;9;00;00;;0;00;00;1;00;00;2;27;21;3;23;05;4;02;00;5;00;00;;;;;;;8;15;00;00;;;;;0;0;036;23;1;1;142;06;2;0;054;24;3;1;158;07;4;0123;24;5;1;254;22;;;;7;2;18;18
2019;02;01114;1;10040;2;10051;3;0;002;045;4;0;035;1;038;5;050;6;0185;5;19;;;;8;00;00;0;0;9;00;00;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;00;00;1;00;00;2;20;07;3;19;14;4;09;00;5;00;00;6;19;18;7;14;00;8;12;02;00;9;00;00;00;0;0;073;23;1;1;071;06;2;0;090;16;3;1;132;05;4;0266;22;5;1;366;16;6;00;00;7;2;18;18
2019;02;01152;1;10033;2;10050;3;1;001;042;4;0;026;1;027;5;047;6;0152;6;16;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10080;2;10064;3;1;020;045;4;0;003;1;043;5;043;6;0064;12;7;043;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;20;10;3;16;12;4;07;00;5;00;00;;;;;;;8;22;01;00;9;00;00;01;0;0;070;23;1;1;085;05;2;0;086;16;3;1;110;05;4;0270;22;5;1;344;16;6;00;03;7;2;18;18
