year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2017;10;01001;1;10021;2;10033;3;0;047;027;4;0;060;0;033;5;078;6;0106;4;18;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10057;2;10044;3;0;001;034;4;0;019;1;017;5;053;6;0081;14;;;8;00;00;00;9;01;00;//;0;00;00;1;00;00;2;06;01;3;18;08;4;01;00;5;00;00;6;00;00;7;00;00;8;21;00;00;9;00;00;05;0;0;083;51;1;1;016;29;2;0;094;03;3;1;039;29;4;0280;22;5;1;260;06;6;00;00;7;2;18;18
2017;10;01007;1;10079;2;10089;3;0;005;035;4;0;022;1;014;5;050;6;0050;5;07;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10086;2;10075;3;1;057;050;4;1;027;1;082;5;035;6;0038;08;;;8;13;13;13;9;13;13;;0;00;00;1;00;00;2;20;07;3;07;04;4;01;00;5;00;00;6;07;05;7;00;00;8;06;00;00;9;00;00;02;0;0;091;01;1;1;060;29;2;0;106;01;3;1;080;25;4;0195;22;5;1;181;15;6;00;00;7;2;18;18
2017;10;01008;1;10055;2;10091;3;0;005;029;4;0;022;1;012;5;049;6;0027;6;02;;;;8;00;00;0;0;9;00;00;31;0;61;90;;;;;3;1;055;;;;;;;;;6;0014;04;;;8;14;14;14;9;14;14;;0;00;00;1;00;00;2;18;08;3;02;02;4;01;00;5;00;00;6;00;00;7;00;00;8;07;00;00;9;00;00;01;0;0;050;14;1;1;050;25;2;0;077;23;3;1;058;25;4;0189;23;5;1;188;23;6;00;00;7;2;18;18
2017;10;01025;1;10052;2;10064;3;0;043;032;4;0;065;0;021;;;6;0141;3;10;;;;8;00;00;0;0;9;01;00;31;0;61;90;1;10060;2;10049;3;0;032;035;4;0;053;0;005;5;060;6;0129;17;;;8;03;03;03;9;03;04;;0;00;00;1;00;00;2;08;00;3;10;08;4;06;00;5;00;00;6;03;02;7;02;00;8;06;00;00;;;;;0;0;109;01;1;1;009;31;2;0;159;01;3;1;041;24;4;0275;30;5;1;162;27;;;;7;2;18;18
2017;10;01026;1;09922;2;10062;3;0;043;034;4;0;065;0;023;5;064;6;0104;3;11;7;081;165;8;00;00;0;0;9;00;00;00;0;61;90;1;10061;2;09920;3;0;027;036;4;0;047;0;007;5;061;6;0131;17;7;049;8;00;00;00;9;00;00;00;0;00;00;1;00;00;2;08;01;3;11;05;4;04;00;5;00;00;6;03;03;7;02;00;8;00;00;00;9;00;00;03;0;0;135;01;1;1;014;30;2;0;186;01;3;1;030;24;4;0245;16;5;1;168;53;6;00;00;7;2;18;18
2017;10;01028;1;10049;2;10069;3;0;031;022;4;0;044;0;018;5;068;6;0022;1;06;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10054;2;10036;3;1;005;035;4;0;012;1;023;5;053;6;0044;10;7;015;8;00;00;00;9;00;00;06;0;00;00;1;00;00;2;08;01;3;06;00;4;00;00;5;00;00;6;01;01;7;00;00;8;16;00;00;9;00;00;05;0;0;079;01;1;1;009;29;2;0;116;01;3;1;030;31;4;0037;28;5;1;217;29;6;00;05;7;2;18;18
2017;10;01065;1;09929;2;10092;3;0;000;053;4;0;028;1;024;5;058;6;0015;1;03;7;034;;8;00;00;0;0;9;00;00;00;0;61;90;;;;;3;1;013;;;;;;;;;;;;;;8;;;;9;;;;0;00;00;1;00;00;2;18;05;3;03;01;4;00;00;5;00;00;6;00;00;7;00;00;8;00;00;00;9;00;00;10;0;0;055;03;1;1;155;31;2;0;107;01;3;1;172;31;4;0091;16;5;1;125;25;6;00;00;7;2;18;18
2017;10;01098;1;10064;2;10083;3;0;037;024;4;0;051;0;022;5;065;6;0032;1;08;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10057;2;10040;3;0;024;031;4;0;040;0;007;5;063;6;0057;14;;;8;00;00;00;9;00;00;;0;00;00;1;00;00;2;07;01;3;08;01;4;00;00;5;00;00;6;00;00;7;00;00;8;07;00;00;9;00;00;02;0;0;070;53;1;1;011;24;2;0;081;03;3;1;029;31;4;0085;20;5;1;221;25;6;00;04;7;2;18;18
2017;10;01114;1;10041;2;10052;3;0;055;037;4;0;093;0;023;5;067;6;0209;3;15;;;;8;00;00;0;0;9;00;00;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;00;00;1;00;00;2;09;00;3;15;12;4;08;00;5;00;00;6;03;02;7;00;00;8;03;00;00;9;00;00;00;0;0;137;02;1;1;008;71;2;0;162;01;3;1;041;23;4;0376;27;5;1;237;16;6;00;02;7;2;18;18
2017;10;01152;1;10041;2;10057;3;0;067;029;4;0;085;0;050;;;6;0140;3;14;;;;8;00;00;0;0;9;01;00;31;0;61;90;1;10066;2;10050;3;0;053;034;4;0;075;0;032;5;070;6;0145;18;7;054;8;00;00;00;9;00;00;01;0;00;00;1;00;00;2;01;00;3;14;08;4;05;00;5;00;00;6;00;00;7;00;00;8;19;00;00;9;00;00;00;0;0;122;51;1;0;011;31;2;0;153;01;3;1;003;31;4;0328;17;5;1;249;03;6;00;02;7;2;18;18
2017;10;01212;1;10034;2;10051;3;0;103;021;4;0;121;0;086;5;090;6;0138;3;21;;;;8;00;00;0;0;9;00;00;31;0;61;90;;;;;3;0;088;;;;;;;;;6;0183;19;;;8;17;17;17;9;18;17;;0;00;00;1;00;00;2;00;00;3;21;09;4;05;00;5;00;00;;;;;;;8;23;04;00;;;;;0;0;152;01;1;0;055;30;2;0;180;02;3;0;026;30;4;0248;27;5;1;346;16;;;;7;2;18;18
2017;10;01233;;;;;3;0;025;028;4;0;055;0;000;5;059;6;0037;4;14;;;;8;31;00;0;0;9;00;00;31;0;61;90;;;;;3;0;024;;;;;;;;;;;;;;8;;;;9;;;;0;00;00;1;00;00;2;15;01;3;14;01;4;00;00;5;00;00;;;;;;;8;03;00;00;;;;;0;0;078;02;1;1;036;19;2;0;131;16;3;1;048;19;4;0083;01;5;1;221;24;;;;7;2;18;18
