year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2016;11;01001;1;10030;2;10041;3;0;021;027;4;0;037;0;004;5;061;6;0103;5;17;;;;8;00;00;0;0;9;00;00;30;0;61;90;1;10050;2;10037;3;1;033;042;4;1;010;1;054;5;041;6;0064;13;;;8;00;00;00;9;00;00;//;;;;;;;2;13;03;3;17;07;4;03;00;;;;6;01;01;;;;8;22;00;00;9;00;00;02;0;0;057;12;1;1;038;29;2;0;065;01;3;1;060;30;4;0200;07;5;1;267;14;6;00;02;7;2;18;18
2016;11;01007;;;2;10093;3;1;017;033;4;0;005;1;040;5;039;6;0153;6;11;;;;8;07;00;0;0;9;00;00;30;0;61;90;1;10058;2;10047;3;1;100;059;4;1;061;1;124;5;026;6;0032;07;;;8;13;13;13;9;13;13;;;;;;;;2;26;13;3;11;06;4;03;01;;;;6;16;15;7;03;00;8;07;00;00;;;;;0;0;042;07;1;1;098;27;2;0;059;08;3;1;136;27;4;0868;07;5;1;225;29;;;;7;2;18;18
2016;11;01008;1;10064;2;10100;3;1;007;035;4;0;013;1;027;5;044;6;0058;6;07;;;;8;00;00;0;0;9;00;00;30;0;61;90;;;;;3;1;103;;;;;;;;;6;0013;04;;;8;14;14;14;9;14;14;;;;;;;;2;23;12;3;07;01;4;01;00;;;;6;08;05;;;;8;11;00;00;;;;;0;0;048;07;1;1;093;27;2;0;064;08;3;1;111;27;4;0417;07;5;1;257;08;;;;7;2;18;18
2016;11;01025;1;10079;2;10091;3;0;001;032;4;0;020;1;022;5;046;6;0045;0;10;;;;8;00;00;0;0;9;00;00;30;0;61;90;1;10029;2;10018;3;1;006;039;4;0;016;1;033;5;047;6;0106;15;;;8;03;03;03;9;03;03;;;;;;;;2;21;09;3;10;03;4;01;00;;;;6;02;02;;;;8;09;00;00;;;;;0;0;056;15;1;1;053;05;2;0;075;16;3;1;076;05;4;0115;30;5;1;187;27;;;;7;2;18;18
2016;11;01026;1;09948;2;10091;3;0;001;029;4;0;019;1;018;5;046;6;0035;0;10;7;018;300;8;00;00;0;0;9;00;00;00;0;61;90;1;10033;2;09891;3;1;011;037;4;0;007;1;030;5;047;6;0108;15;7;006;8;00;00;00;9;00;00;00;;;;;;;2;21;09;3;10;03;;;;;;;6;03;03;7;01;00;8;02;00;00;9;00;00;01;0;0;054;15;1;1;040;05;2;0;070;16;3;1;062;05;4;0064;27;5;1;204;15;6;00;01;7;2;18;18
2016;11;01028;1;10068;2;10088;3;0;015;023;4;0;027;0;002;5;057;6;0050;5;10;;;;8;00;00;0;0;9;00;00;30;0;61;90;1;10033;2;10015;3;1;037;045;4;1;017;1;060;5;042;6;0033;09;7;000;8;00;00;00;9;00;00;00;;;;;;;2;12;04;3;10;03;4;01;00;;;;;;;;;;8;19;02;00;9;00;00;01;0;0;048;58;1;1;025;77;2;0;058;14;3;1;058;28;4;0105;19;5;1;310;14;6;00;05;7;2;18;18
2016;11;01065;1;09961;2;10130;3;1;082;060;4;1;046;1;125;5;032;6;0032;5;11;7;000;;8;00;00;0;0;9;00;00;00;0;61;90;;;;;3;1;094;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;30;24;3;11;00;;;;;;;6;04;04;;;;;;;;;;;;0;0;001;18;1;1;221;08;2;0;015;69;3;1;234;13;4;0049;11;5;1;205;18;;;;7;2;18;18
2016;11;01098;1;10096;2;10114;3;0;005;022;4;0;022;1;015;5;051;6;0046;3;14;;;;8;00;00;0;0;9;00;00;30;0;61;90;1;10032;2;10014;3;1;013;032;4;0;007;1;034;5;049;6;0059;13;;;8;00;00;00;9;00;00;;;;;;;;2;21;04;3;14;01;;;;;;;;;;;;;8;13;01;00;9;01;01;04;0;0;039;11;1;1;045;08;2;0;054;11;3;1;061;07;4;0060;05;5;1;282;14;6;01;00;7;2;18;18
2016;11;01114;1;10073;2;10083;3;0;015;041;4;0;047;1;022;5;051;6;0160;4;13;;;;8;00;00;0;0;9;00;00;30;0;61;90;;;;;;;;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;20;04;3;13;09;4;06;00;;;;;;;;;;8;07;00;00;;;;;0;0;082;14;1;1;072;06;2;0;109;15;3;1;108;06;4;0323;25;5;1;275;15;6;00;01;7;2;18;18
2016;11;01152;1;10071;2;10087;3;0;022;029;4;0;039;0;004;5;052;6;0115;4;14;;;;8;00;00;0;0;9;00;00;30;0;61;90;1;10039;2;10023;3;0;012;039;4;0;033;1;010;5;052;6;0099;15;7;016;8;00;00;00;9;00;00;00;;;;;;;2;11;05;3;14;05;4;04;00;;;;;;;;;;8;21;00;00;;;;;0;0;071;15;1;1;034;06;2;0;094;15;3;1;051;06;4;0286;25;5;1;242;15;6;00;03;7;2;18;18
