year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2013;12;01001;1;09910;2;09922;3;1;019;037;4;1;001;1;040;5;047;6;0051;2;13;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10034;2;10021;3;1;052;053;4;1;027;1;077;5;037;6;0066;13;;;8;00;00;00;9;00;00;;;;;;;;2;25;12;3;13;04;;;;;;;;;;;;;8;27;06;00;9;01;01;08;0;0;027;22;1;1;108;05;2;0;035;25;3;1;133;05;4;0089;04;5;1;344;06;;;;7;2;18;18
2013;12;01007;1;10019;2;10029;3;1;087;056;4;1;060;1;119;5;022;6;0016;2;05;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10048;2;10037;3;1;125;076;4;1;091;1;157;5;021;6;0026;06;;;8;13;13;13;9;13;13;;;;;;;;2;31;26;3;05;00;;;;;;;6;31;31;7;31;00;8;12;00;00;;;;;0;0;021;16;1;1;174;04;2;0;043;16;3;1;220;05;4;0040;17;5;1;238;16;;;;7;2;18;18
2013;12;01008;1;09992;2;10027;3;1;081;056;4;1;059;1;111;5;024;6;0011;3;04;;;;8;00;00;0;0;9;00;00;31;0;61;90;;;;;3;1;134;;;;;;;;;6;0011;03;;;8;14;14;14;9;14;14;;;;;;;;2;31;26;3;04;00;;;;;;;6;24;24;;;;8;16;00;00;;;;;0;0;025;16;1;1;165;07;2;0;056;17;3;1;200;07;4;0029;19;5;1;239;17;6;01;00;7;2;18;18
2013;12;01025;1;09930;2;09941;3;1;005;033;4;0;018;1;033;5;048;6;0107;3;14;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10014;2;10003;3;1;027;043;4;1;002;1;054;5;041;6;0103;15;;;8;03;03;03;9;03;03;;;;;;;;2;22;08;3;14;07;4;04;00;;;;6;21;19;7;09;00;8;13;01;00;;;;;0;0;047;11;1;1;086;06;2;0;070;11;3;1;114;01;4;0215;11;5;1;316;03;;;;7;1;18;18
2013;12;01026;1;09799;2;09941;3;1;007;032;4;0;014;1;030;5;047;6;0113;3;15;7;000;510;8;00;00;0;0;9;00;00;01;0;61;90;1;10019;2;09876;3;1;033;042;4;1;013;1;054;5;040;6;0106;15;7;000;8;00;00;00;9;00;00;00;;;;;;;2;23;08;3;15;07;4;05;00;;;;6;31;31;7;31;31;8;05;00;00;9;00;00;03;0;0;046;11;1;1;075;06;2;0;066;11;3;1;103;10;4;0177;03;5;1;287;25;6;00;06;7;2;18;18
2013;12;01028;1;09950;2;09970;3;1;028;033;4;1;013;1;051;5;042;6;0058;5;14;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10022;2;10003;3;1;071;064;4;1;043;1;099;5;035;6;0030;09;7;000;8;00;00;00;9;00;00;00;;;;;;;2;30;22;3;14;05;;;;;;;;;;;;;8;22;04;00;9;00;00;08;0;0;027;16;1;1;093;09;2;0;042;16;3;1;135;08;4;0081;02;5;1;292;03;6;00;01;7;2;18;18
2013;12;01065;1;09808;2;09976;3;1;105;099;4;1;046;1;169;5;030;6;0037;6;16;7;000;;8;00;00;0;0;9;00;00;01;0;61;90;;;;;3;1;153;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;29;19;3;16;00;;;;;;;6;31;31;7;10;00;8;02;00;00;9;00;00;11;0;0;019;26;1;1;297;07;2;0;058;11;3;1;356;10;4;0039;25;5;1;231;12;;;;7;2;18;18
2013;12;01098;1;09942;2;09960;3;1;010;025;4;0;009;1;031;5;047;6;0070;5;16;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10017;2;09999;3;1;037;035;4;1;014;1;061;5;041;6;0054;14;;;8;00;00;00;9;00;00;;;;;;;;2;25;08;3;16;05;4;01;00;;;;;;;;;;8;18;02;00;9;00;00;07;0;0;031;26;1;1;060;10;2;0;042;26;3;1;100;10;4;0126;25;5;1;345;12;6;00;01;7;2;18;18
2013;12;01114;1;09934;2;09944;3;0;014;045;4;0;047;1;027;5;055;6;0233;4;21;;;;8;00;00;0;0;9;00;00;31;0;61;90;;;;;;;;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;23;04;3;21;15;4;06;01;;;;6;12;12;7;08;00;8;17;00;00;;;;;0;0;070;11;1;1;104;07;2;0;109;16;3;1;151;08;4;0603;10;5;1;300;03;6;02;04;7;2;18;18
2013;12;01152;1;09931;2;09946;3;0;022;031;4;0;044;1;001;5;057;6;0191;5;21;;;;8;00;00;0;0;9;00;00;31;0;61;90;1;10027;2;10011;3;1;012;046;4;0;012;1;035;5;045;6;0100;16;7;000;8;00;00;00;9;00;00;00;;;;;;;2;13;03;3;21;11;4;07;00;;;;;;;;;;8;26;01;00;;;;;0;0;071;11;1;1;048;57;2;0;088;11;3;1;070;09;4;0417;10;5;1;301;03;6;01;08;7;2;18;18
