year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2017;02;01001;1;10069;2;10081;3;1;012;045;4;0;004;1;028;5;051;6;0032;2;08;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10060;2;10045;3;1;061;060;4;1;033;1;090;5;036;6;0054;11;;;8;00;00;00;9;00;00;//;;;;;;;2;17;09;3;08;01;;;;;;;;;;;;;8;17;02;00;9;00;00;08;0;0;037;12;1;1;106;20;2;0;058;62;3;1;119;20;4;0076;14;5;1;331;13;6;00;01;7;2;18;18
2017;02;01007;1;10073;2;10083;3;1;078;075;4;1;050;1;110;5;027;6;0112;6;13;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10073;2;10062;3;1;146;080;4;1;102;1;184;5;020;6;0039;07;;;8;14;14;14;9;14;14;;;;;;;;2;23;19;3;13;08;4;06;00;;;;6;25;25;7;11;00;8;10;00;00;9;00;00;01;0;0;035;05;1;1;204;17;2;0;049;05;3;1;253;01;4;0240;06;5;1;229;10;;;;7;2;18;18
2017;02;01008;;;2;10085;3;1;069;075;4;1;044;1;096;5;031;6;0045;6;11;;;;8;02;00;0;0;9;00;00;28;0;61;90;;;;;3;1;162;;;;;;;;;6;0021;05;;;8;15;15;15;9;16;15;;;;;;;;2;22;18;3;11;03;4;01;00;;;;6;27;27;7;18;00;8;15;00;00;9;01;01;02;0;0;042;06;1;1;186;17;2;0;059;06;3;1;213;18;4;0106;07;5;1;267;21;;;;7;2;18;18
2017;02;01025;1;10087;2;10099;3;1;028;038;4;1;006;1;056;5;041;6;0093;4;14;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10067;2;10056;3;1;037;046;4;1;012;1;064;5;038;6;0087;13;;;8;04;04;04;9;04;04;;;;;;;;2;24;18;3;14;09;4;03;00;;;;6;16;15;7;09;01;8;11;00;00;;;;;0;0;045;13;1;1;086;09;2;0;074;13;3;1;140;23;4;0175;20;5;1;261;13;;;;7;2;18;18
2017;02;01026;1;09954;2;10099;3;1;029;034;4;1;006;1;053;5;041;6;0105;4;15;7;052;162;8;00;00;0;0;9;00;00;00;0;61;90;1;10069;2;09924;3;1;042;045;4;1;021;1;065;5;037;6;0088;13;7;032;8;00;00;00;9;00;00;00;;;;;;;2;24;17;3;15;09;4;04;00;;;;6;28;28;7;27;08;8;03;00;00;9;00;00;07;0;0;039;13;1;1;076;22;2;0;069;13;3;1;120;23;4;0158;20;5;1;234;13;;;;7;2;18;18
2017;02;01028;1;10058;2;10078;3;1;027;042;4;1;010;1;047;5;044;6;0043;5;11;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10055;2;10036;3;1;077;068;4;1;047;1;109;5;035;6;0032;09;7;006;8;00;00;00;9;00;00;00;;;;;;;2;19;15;3;11;02;;;;;;;;;;;;;8;15;01;00;9;00;00;10;0;0;025;06;1;1;095;18;2;0;037;06;3;1;138;01;4;0076;19;5;1;270;22;6;00;01;7;2;18;18
2017;02;01065;1;09946;2;10117;3;1;129;085;4;1;076;1;188;5;023;6;0034;6;12;7;022;;8;00;00;0;0;9;00;00;00;0;61;90;;;;;3;1;154;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;27;23;3;12;01;;;;;;;6;01;01;7;01;01;8;02;00;00;;;;;0;0;026;13;1;1;279;10;2;0;060;13;3;1;324;26;4;0075;22;5;1;246;12;;;;7;2;18;18
2017;02;01098;1;10060;2;10079;3;1;022;028;4;0;002;1;047;5;042;6;0043;3;12;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10066;2;10048;3;1;054;040;4;1;030;1;079;5;038;6;0042;12;;;8;00;00;00;9;00;00;;;;;;;;2;24;11;3;12;01;4;01;00;;;;;;;;;;8;15;00;00;9;05;05;14;0;0;024;58;1;1;070;20;2;0;041;13;3;1;093;21;4;0112;13;5;1;254;13;;;;7;2;18;18
2017;02;01114;1;10101;2;10112;3;1;014;041;4;0;018;1;043;5;045;6;0102;3;12;;;;8;00;00;0;0;9;00;00;28;0;61;90;;;;;;;;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;21;10;3;12;08;4;02;00;;;;6;11;09;7;08;00;8;05;00;00;;;;;0;0;057;13;1;1;070;08;2;0;068;66;3;1;128;27;4;0340;12;5;1;268;12;6;00;02;7;2;18;18
2017;02;01152;1;10095;2;10111;3;1;001;029;4;0;016;1;019;5;047;6;0070;3;11;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10080;2;10064;3;1;020;045;4;0;003;1;043;5;043;6;0064;12;7;043;8;00;00;00;9;00;00;00;;;;;;;2;21;11;3;11;03;4;02;00;;;;;;;;;;8;18;00;00;9;00;00;01;0;0;058;13;1;1;052;22;2;0;066;66;3;1;071;22;4;0238;12;5;1;272;12;6;00;02;7;2;18;18
