year;month;IIiii;G1;Po;G1;P;G1;sn;T;st;G1;sn;Tx;sn;Tn;G1;e;G1;R1;Rd;nr;G1;S1;ps;G1;mp;mT;mTx;mTn;G1;me;mR;mS;G2;Yb;Yc;G2;Po;G2;P;G2;sn;T;st;G2;sn;Tx;sn;Tn;G2;e;G2;R1;nr;G2;S1;G2;YP;YT;YTx;G2;Ye;YR;YS;G3;T25;T30;G3;T35;T40;G3;Tn0;Tx0;G3;R01;R05;G3;R10;R50;G3;R100;R150;G3;s00;s01;G3;s10;s50;G3;f10;f20;f30;G3;V1;V2;V3;G4;sn;Txd;yx;G4;sn;Tnd;yn;G4;sn;Tax;yax;G4;sn;Tan;yan;G4;Rx;yr;G4;iw;fx;yfx;G4;Dts;Dgr;G4;iy;Gx;Gn
2014;02;01001;1;09980;2;09992;3;1;012;023;4;0;007;1;027;5;049;6;0014;1;05;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10060;2;10045;3;1;061;060;4;1;033;1;090;5;036;6;0054;11;;;8;00;00;00;9;00;00;;;;;;;;2;24;08;3;05;00;;;;;;;;;;;;;8;22;00;00;9;00;00;07;0;0;022;05;1;1;075;25;2;0;033;07;3;1;083;75;4;0028;17;5;1;266;25;;;;7;2;18;18
2014;02;01007;1;10035;2;10045;3;1;027;033;4;1;003;1;055;5;035;6;0023;3;07;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10073;2;10062;3;1;146;085;4;1;102;1;184;5;020;6;0039;07;;;8;14;14;14;9;14;14;;;;;;;;2;27;13;3;07;00;;;;;;;6;28;28;7;28;22;8;07;00;00;;;;;0;0;025;12;1;1;119;28;2;0;047;12;3;1;151;28;4;0049;19;5;1;208;14;;;;7;2;18;18
2014;02;01008;1;10010;2;10044;3;1;017;029;4;0;001;1;037;5;038;6;0003;0;01;;;;8;00;00;0;0;9;00;00;28;0;61;90;;;;;3;1;162;;;;;;;;;6;0021;05;;;8;15;15;15;9;16;15;;;;;;;;2;26;11;3;01;00;;;;;;;6;28;28;;;;8;13;00;00;;;;;0;0;036;12;1;1;094;28;2;0;054;12;3;1;115;28;4;0018;26;5;1;224;04;;;;7;2;18;18
2014;02;01025;1;09975;2;09986;3;1;001;027;4;0;022;1;027;5;047;6;0028;1;07;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10067;2;10056;3;1;037;046;4;1;012;1;064;5;038;6;0087;13;;;8;04;04;04;9;04;05;;;;;;;;2;20;04;3;07;02;;;;;;;6;12;08;7;01;00;8;09;00;00;;;;;0;0;041;25;1;1;050;01;2;0;067;25;3;1;091;02;4;0070;24;5;1;172;22;;;;7;1;18;18
2014;02;01026;1;09844;2;09986;3;1;001;027;4;0;021;1;024;5;046;6;0034;1;08;7;020;062;8;00;00;0;0;9;00;00;01;0;61;90;1;10069;2;09924;3;1;042;045;4;1;021;1;065;5;037;6;0088;13;7;032;8;00;00;00;9;00;00;00;;;;;;;2;21;05;3;08;03;4;01;00;;;;6;28;28;7;28;25;;;;;9;00;00;01;0;0;041;25;1;1;058;01;2;0;069;25;3;1;098;02;4;0103;24;5;1;166;22;;;;7;2;18;18
2014;02;01028;1;09984;2;10004;3;1;006;019;4;0;007;1;024;5;053;6;0032;4;07;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10055;2;10036;3;1;077;068;4;1;047;1;109;5;035;6;0032;09;7;006;8;00;00;00;9;00;00;00;;;;;;;2;22;06;3;07;01;4;01;00;;;;;;;;;;8;14;00;00;9;00;00;10;0;0;025;11;1;1;051;28;2;0;032;12;3;1;075;21;4;0153;17;5;1;201;01;6;01;00;7;2;18;18
2014;02;01065;1;09879;2;10043;3;1;044;060;4;1;016;1;079;5;039;6;0014;3;05;;;;8;00;00;0;0;9;00;00;02;0;61;90;;;;;3;1;154;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;25;16;3;05;00;;;;;;;6;28;28;7;28;00;;;;;9;00;00;07;0;0;031;24;1;1;213;21;2;0;055;24;3;1;289;21;4;0019;21;5;1;137;24;6;01;00;7;2;18;18
2014;02;01098;1;10038;2;10057;3;1;010;033;4;0;006;1;029;5;046;6;0012;1;03;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10066;2;10048;3;1;054;040;4;1;030;1;079;5;038;6;0042;12;;;8;00;00;00;9;00;00;;;;;;;;2;22;10;3;03;00;;;;;;;;;;;;;8;17;00;00;9;00;00;05;0;0;032;25;1;1;091;51;2;0;053;25;3;1;119;01;4;0029;28;5;1;198;24;6;00;01;7;2;18;18
2014;02;01114;1;09952;2;09963;3;0;013;031;4;0;046;1;028;5;049;6;0054;1;06;;;;8;00;00;0;0;9;00;00;28;0;61;90;;;;;;;;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;22;01;3;06;03;4;02;00;;;;;;;;;;8;05;00;00;;;;;0;0;068;24;1;1;072;01;2;0;085;24;3;1;105;01;4;0210;23;5;1;300;24;;;;7;2;18;18
2014;02;01152;1;09954;2;09970;3;0;029;025;4;0;047;0;009;5;051;6;0037;1;05;;;;8;00;00;0;0;9;00;00;28;0;61;90;1;10080;2;10064;3;1;020;045;4;0;003;1;043;5;043;6;0064;12;7;043;8;00;00;00;9;00;00;00;;;;;;;2;08;01;3;05;03;4;01;00;;;;;;;;;;8;19;00;00;;;;;0;0;069;24;1;1;039;01;2;0;081;24;3;1;056;01;4;0151;23;5;1;272;24;;;;7;2;18;18
2014;02;01212;1;09901;2;09919;3;0;061;017;4;0;077;0;043;5;058;6;0034;1;06;;;;8;00;00;0;0;9;00;00;28;0;61;90;;;;;3;0;025;;;;;;;;;6;0111;14;;;8;18;18;18;9;19;18;;;;;;;;2;01;00;3;06;03;4;01;00;;;;;;;;;;8;19;00;00;;;;;0;0;086;26;1;0;017;20;2;0;105;26;3;1;003;20;4;0113;24;5;1;262;23;;;;7;1;18;18
2014;02;01233;;;;;3;1;017;039;4;0;007;1;040;5;045;6;0015;3;06;;;;8;28;00;0;0;9;00;00;28;0;61;90;;;;;3;1;076;;;;;;;;;;;;;;8;;;;9;;;;;;;;;;2;24;10;3;06;00;;;;;;;;;;;;;8;10;00;00;;;;;0;0;054;24;1;1;117;19;2;0;081;24;3;1;165;20;4;0036;20;5;1;280;24;;;;7;1;18;18
